age,BAYSPAR,BAYSPmin,BAYSPmax,BAYMBT0,BAYMBTmin,BAYMBTmax
55.983,35.82,29.51,44.89,27.30,19.24,35.59
55.99,35.15,28.90,44.12,27.24,19.08,35.75
55.996,34.52,28.33,43.36,27.21,19.37,35.03
55.999,33.26,27.18,41.77,27.18,19.71,35.34
56.002,32.04,26.01,40.13,20.23,12.76,28.35
56.003,33.27,27.24,41.77,27.37,19.46,35.37
56.006,31.40,25.45,39.45,27.48,19.34,35.18
56.011,31.43,25.48,39.40,27.61,19.63,36.36
56.015,23.91,18.06,30.20,27.09,19.55,34.70
56.02,23.29,17.34,29.51,19.01,10.84,26.91
56.02,25.79,19.97,32.47,27.27,18.96,36.06
56.022,24.54,18.68,31.02,27.37,19.36,35.41
56.026,25.81,19.96,32.50,26.86,19.59,35.37
56.029,25.76,19.92,32.49,27.56,19.55,35.78
56.033,26.43,20.56,33.19,27.32,19.72,35.11
56.036,27.64,21.77,34.71,27.02,19.00,35.90
56.04,25.79,19.90,32.47,27.51,19.00,35.07
56.045,27.03,21.21,33.97,27.01,19.60,35.20
56.052,26.39,20.57,33.18,27.32,19.08,35.51
56.07,25.76,19.93,32.42,27.11,19.30,35.24
56.088,25.78,19.93,32.48,27.27,19.09,35.41
56.098,25.77,19.89,32.51,27.01,19.04,35.10
56.107,25.16,19.29,31.73,26.97,19.12,35.62
56.108,24.51,18.68,30.97,18.36,10.94,26.99
56.115,25.16,19.28,31.71,27.18,19.65,35.24
56.123,25.16,19.31,31.73,27.18,19.30,35.88
56.133,25.13,19.30,31.75,27.60,19.84,34.89
56.143,24.52,18.66,30.95,27.47,19.21,35.47
56.161,24.54,18.65,30.89,27.25,19.26,35.13
56.178,23.91,18.00,30.32,27.31,18.96,35.25
56.195,24.56,18.67,31.01,27.10,18.96,35.34
56.197,23.27,17.38,29.51,18.94,11.09,27.15
56.232,24.53,18.65,30.97,27.24,19.47,34.73
56.232,24.54,18.67,30.98,19.97,12.34,28.02
56.267,23.91,18.03,30.26,27.20,19.62,35.17
56.303,24.55,18.69,30.92,27.09,19.35,35.39
56.338,23.91,17.96,30.18,27.40,19.13,35.05
56.338,23.28,17.34,29.55,19.07,10.88,27.01
56.373,24.54,18.64,30.92,27.44,19.09,35.28
56.409,28.29,22.41,35.47,27.14,19.63,35.51
56.444,27.02,21.20,33.90,27.62,19.07,34.91
56.498,26.38,20.63,33.22,27.41,19.58,35.68
56.499,25.80,19.95,32.46,20.92,12.98,29.37
56.567,23.26,17.39,29.54,27.22,19.39,34.97
56.585,23.91,18.01,30.29,18.58,10.82,26.68
56.687,23.30,17.38,29.54,19.53,11.90,27.19
56.793,25.15,19.27,31.72,20.84,12.57,28.61
56.864,25.19,19.27,31.74,21.12,13.39,29.24
56.917,23.29,17.35,29.46,19.96,11.77,27.86
56.988,23.91,17.98,30.23,19.92,11.48,27.30
57.077,23.93,17.96,30.26,18.72,10.47,26.85
57.143,22.03,16.03,28.03,18.06,10.21,26.22
57.175,21.40,15.33,27.35,18.41,10.60,26.97
57.239,23.31,17.35,29.50,17.28,9.82,25.10
57.314,25.12,19.26,31.64,20.61,12.66,28.70
57.346,25.18,19.39,31.70,20.93,12.74,28.59
57.442,23.91,17.96,30.24,20.13,11.65,28.29
57.549,25.17,19.32,31.70,18.02,10.48,25.94
57.61,20.79,14.65,26.66,17.23,8.95,25.60
57.65,20.82,14.64,26.69,17.78,9.76,25.67
57.7,22.67,16.71,28.87,16.64,9.32,24.97
58.976,18.24,11.94,23.97,8.43,1.20,16.24
58.983,18.24,11.92,23.94,9.87,2.06,17.47
58.994,17.00,10.47,22.63,8.23,1.30,15.59
59.006,20.14,14.01,25.99,9.00,1.67,16.89
59.019,18.29,11.95,23.96,10.39,2.11,17.93
59.03,18.90,12.69,24.63,9.18,1.63,16.77
59.047,20.12,13.93,25.96,11.05,3.29,18.27
59.075,20.14,14.01,25.96,13.05,4.87,21.04
59.09,17.61,11.28,23.26,13.58,6.36,21.53
59.091,20.18,13.99,25.94,13.70,5.98,21.24
59.117,19.52,13.35,25.27,11.16,3.87,19.00
59.133,20.14,13.99,25.98,11.41,3.53,19.20
59.147,18.90,12.60,24.64,13.63,5.89,22.07
59.161,19.54,13.36,25.26,13.44,5.45,21.30
59.177,16.97,10.50,22.57,15.03,6.91,23.30
59.19,16.96,10.58,22.60,13.18,5.07,21.33
59.203,18.88,12.59,24.62,11.51,3.81,19.18
59.219,17.00,10.53,22.63,10.72,2.76,18.60
59.236,16.34,9.83,21.98,10.52,3.33,19.26
59.261,15.71,9.08,21.37,11.34,3.83,19.65
59.313,16.97,10.51,22.59,12.01,4.09,20.23
59.365,18.25,11.91,23.91,14.08,6.53,21.63
59.419,20.16,13.97,25.94,16.19,8.79,24.08
59.475,21.40,15.35,27.37,17.45,10.13,24.95
59.555,24.55,18.64,31.01,18.01,9.90,25.49
59.609,22.67,16.69,28.80,16.66,8.27,24.76
