location,substrate,type,IIIa-tot,IIIb-tot,IIIc-tot,Iia-tot,Iib-tot,Iic-tot,brGDGT-Ia,brGDGT-Ib,brGDGT-Ic,SUMBR,FR.TETR,FR.PEN,FR.HEX,NoRINGStetra,NoRINGSpenta,NoRINGSpenta5,NoRINGSpenta6,IRpenta,IRhexa,,Iia,Iia',Iib,Iib',Iic,Iic',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc'
U1356,shelf sediment,Paleogene,15500,0,0,33300,0,0,331000,12700,0,392500.00,87.57,8.48,3.95,0.04,0.00,,,0.00,0.00,,,,,,,,,,,,,
Schoeningen,Lignite,Paleogene,1952245,0,0,9916855,1438650,564377,116860514,9727835,8084122,148544598.89,90.66,8.02,1.31,0.19,0.22,0.22,0.21,0.14,0.69,,8563493,1353363,1078605,360044,564377,0,607395,1344850,0,0,0,0
Schoeningen,Lignite,Paleogene,1259303,0,0,9153312,1458490,669176,106288711,10196013,7225999,136251004.29,90.80,8.28,0.92,0.20,0.25,0.25,0.25,0.14,0.63,,7937723,1215590,1061163,397327,669176,0,468598,790705,0,0,0,0
Schoeningen,Lignite,Paleogene,1318426,0,0,8868459,1404781,669287,157860748,17616357,13107611,200845669.65,93.90,5.45,0.66,0.23,0.25,0.27,0.18,0.17,0.77,,7313807,1554651,1068416,336365,669287,0,302812,1015614,0,0,0,0
Schoeningen,Lignite,Paleogene,744617,0,0,5309597,760103,370376,116377583,12591128,9189101,145342505.14,95.06,4.43,0.51,0.22,0.23,0.25,0.15,0.17,0.77,,4352663,956934,593606,166497,370376,0,173787,570830,0,0,0,0
Schoeningen,Lignite,Paleogene,830546,0,0,4905347,789977,331157,109050748,9818068,7371638,133097480.49,94.85,4.53,0.62,0.19,0.24,0.25,0.21,0.16,0.80,,4133611,771737,588015,201962,331157,0,165902,664643,0,0,0,0
Schoeningen,Lignite,Paleogene,773864,0,0,5446583,945160,427515,89051886,9070479,6484041,112199527.86,93.23,6.08,0.69,0.21,0.26,0.29,0.17,0.19,0.67,,4343766,1102817,724725,220434,427515,0,252155,521710,0,0,0,0
Schoeningen,Lignite,Paleogene,849295,0,0,7421202,1501070,625438,208116954,20528521,11172092,250214572.35,95.84,3.82,0.34,0.18,0.29,0.32,0.17,0.19,0.71,,5920023,1501178,1188728,312342,625438,0,247324,601972,0,0,0,0
Schoeningen,Lignite,Paleogene,1152255,0,0,6910293,1403804,610590,198624091,18406001,12726953,239833986.59,95.80,3.72,0.48,0.19,0.29,0.34,0.17,0.27,0.76,,4871089,2039203,991599,412205,610590,0,278622,873633,0,0,0,0
Schoeningen,Lignite,Paleogene,847381,0,0,7448921,1649002,698179,164311114,19746814,11552156,206253567.36,94.84,4.75,0.41,0.22,0.31,0.35,0.16,0.20,0.74,,5817181,1631740,1328787,320216,698179,0,222233,625148,0,0,0,0
