Site,coresec,interval,depth,age,1302,1300,1298,1296,1292,1292',1050-1,1050-2,H-1048,H-1048b-1,H-1048b-2,1036-1,1036-2,1034-1,1034-2,H-1034a,H-1034b,H-1034c,H-1034tot,1032-1,1032-2,1022,1020,H-1020p,H-1020a,H-1020b,H-1020c,H-1020tot,1018,1050-tot,1036-tot,1034-tot,1032-tot,,,
1172D,2R-5W,65-68,358.695,31.4853,1.56E+07,2.15E+06,1.57E+06,4.32E+05,1.63E+07,8.44E+05,2.10E+06,3.56E+05,1.16E+04,1.15E+04,1.63E+04,6.41E+05,2.71E+05,8.04E+04,2.56E+05,5.89E+03,7.53E+04,9.35E+04,1.75E+05,1.80E+04,6.01E+04,4.67E+06,2.97E+05,5.48E+04,1.23E+06,9.00E+05,2.75E+05,2.41E+06,1.38E+05,2.46E+06,9.12E+05,3.36E+05,7.81E+04,,,
1172D,2R-5W,93-96,358.975,33.8300,4.47E+07,7.89E+06,5.34E+06,1.74E+06,4.79E+07,3.23E+06,9.94E+05,9.24E+05,3.46E+04,2.93E+04,2.72E+04,2.13E+06,7.01E+05,2.64E+05,6.05E+05,6.61E+03,1.95E+05,1.01E+05,3.03E+05,5.95E+04,1.56E+05,1.30E+07,8.16E+05,2.54E+04,1.21E+06,8.20E+05,6.13E+05,2.64E+06,3.63E+05,1.92E+06,2.83E+06,8.69E+05,2.16E+05,,,
1172D,2R-5W,140.5,359.45,34.5900,4.37E+07,8.13E+06,5.48E+06,1.81E+06,4.84E+07,3.58E+06,8.82E+05,8.85E+05,3.10E+04,2.04E+04,2.30E+04,1.94E+06,6.66E+05,2.71E+05,4.67E+05,5.93E+03,1.68E+05,1.02E+05,2.76E+05,5.66E+04,1.30E+05,1.20E+07,7.36E+05,4.22E+04,1.21E+06,8.15E+05,6.38E+05,2.66E+06,3.39E+05,1.77E+06,2.61E+06,7.38E+05,1.87E+05,,,
1172D,2R-6W,12-15,359.665,34.9340,4.36E+07,7.56E+06,4.72E+06,1.56E+06,4.76E+07,3.14E+06,7.12E+05,7.98E+05,2.26E+04,1.31E+04,1.60E+04,1.51E+06,5.37E+05,2.14E+05,4.51E+05,3.57E+03,1.37E+05,8.35E+04,2.24E+05,4.27E+04,1.20E+05,9.35E+06,5.87E+05,2.00E+04,9.06E+05,5.81E+05,4.80E+05,1.97E+06,2.67E+05,1.51E+06,2.05E+06,6.65E+05,1.63E+05,,,
1172D,2R-6W,62.5-65.5,360.17,35.7111,4.00E+06,3.91E+05,3.63E+05,1.04E+05,2.47E+06,1.48E+05,1.15E+06,3.34E+05,2.77E+04,1.44E+04,5.39E+04,4.89E+05,1.91E+05,1.13E+05,3.34E+05,1.42E+04,4.24E+04,1.24E+05,1.81E+05,1.25E+04,6.60E+04,4.15E+06,2.55E+05,2.88E+04,7.38E+05,5.72E+05,2.77E+05,1.59E+06,2.00E+05,1.48E+06,6.80E+05,4.47E+05,7.85E+04,,,
1172D,2R-6W,85-89,360.395,35.7467,2.26E+07,2.87E+06,1.71E+06,5.84E+05,2.21E+07,7.87E+05,3.59E+05,3.24E+05,8.79E+03,9.63E+03,8.93E+03,5.46E+05,2.09E+05,7.09E+04,2.39E+05,2.25E+03,4.88E+04,4.36E+04,9.46E+04,1.56E+04,5.73E+04,3.50E+06,2.17E+05,1.40E+04,6.01E+05,4.94E+05,1.80E+05,1.28E+06,1.02E+05,6.83E+05,7.54E+05,3.10E+05,7.29E+04,,,
1172D,2R-6W,112-115,360.665,35.7895,7.15E+05,1.12E+05,7.73E+04,2.67E+04,7.67E+05,3.94E+04,4.45E+04,4.05E+04,0.00E+00,0.00E+00,0.00E+00,4.48E+04,1.82E+04,5.96E+03,2.10E+04,0.00E+00,3.40E+03,3.34E+03,6.74E+03,2.04E+03,4.35E+03,3.13E+05,1.67E+04,2.97E+03,5.62E+04,5.82E+04,1.62E+04,1.31E+05,9.23E+03,8.50E+04,6.30E+04,2.70E+04,6.40E+03,,,
1172D,2R-6W,137-140,360.915,35.8290,4.32E+07,8.46E+06,5.64E+06,2.23E+06,4.62E+07,3.06E+06,8.43E+05,8.04E+05,3.16E+04,1.39E+04,2.11E+04,2.78E+06,6.89E+05,3.02E+05,4.53E+05,5.14E+03,1.74E+05,8.91E+04,2.68E+05,7.51E+04,1.11E+05,1.96E+07,1.04E+06,3.80E+04,1.50E+06,1.20E+06,1.02E+06,3.72E+06,4.83E+05,1.65E+06,3.47E+06,7.55E+05,1.86E+05,,,
1172D,3R-1W,5-8,361.695,36.0862,2.95E+07,5.32E+06,3.20E+06,1.10E+06,3.13E+07,1.95E+06,4.01E+05,3.80E+05,1.68E+04,5.46E+03,1.17E+04,1.43E+06,3.80E+05,1.51E+05,2.33E+05,2.52E+03,8.63E+04,4.89E+04,1.38E+05,3.78E+04,5.43E+05,9.25E+06,5.32E+05,1.63E+04,7.57E+05,5.89E+05,4.40E+05,1.79E+06,2.32E+05,7.81E+05,1.81E+06,3.84E+05,5.81E+05,,,
1172D,3R-1W,55-58,362.195,36.1791,2.41E+07,4.04E+06,2.59E+06,8.67E+05,2.53E+07,1.34E+06,3.33E+05,3.29E+05,1.13E+04,5.65E+03,8.85E+03,1.04E+06,2.52E+05,1.11E+05,1.75E+05,2.14E+03,7.95E+04,3.87E+04,1.20E+05,2.89E+04,4.45E+04,7.47E+06,3.83E+05,1.74E+04,6.15E+05,5.01E+05,3.92E+05,1.51E+06,1.71E+05,6.62E+05,1.29E+06,2.86E+05,7.34E+04,,,
1172D,3R-2W,12-15,363.265,36.3778,3.38E+07,6.13E+06,3.77E+06,1.22E+06,3.49E+07,2.29E+06,4.38E+05,4.63E+05,1.56E+04,7.86E+03,1.20E+04,1.39E+06,3.54E+05,1.48E+05,2.69E+05,4.12E+03,1.06E+05,6.26E+04,1.73E+05,3.90E+04,6.10E+04,9.66E+06,5.23E+05,1.58E+04,1.04E+06,6.95E+05,5.37E+05,2.27E+06,2.35E+05,9.01E+05,1.74E+06,4.17E+05,1.00E+05,,,
1172D,3R-2W,112-115,364.265,36.5635,3.27E+07,5.95E+06,3.61E+06,1.25E+06,3.49E+07,2.11E+06,4.03E+05,6.26E+05,1.24E+04,7.02E+03,1.09E+04,1.29E+06,3.43E+05,1.48E+05,2.54E+05,1.00E+03,8.47E+04,5.83E+04,1.44E+05,3.36E+04,6.78E+04,8.92E+06,5.15E+05,6.50E+03,8.59E+05,5.95E+05,4.48E+05,1.90E+06,2.36E+05,1.03E+06,1.63E+06,4.02E+05,1.01E+05,,,
1172D,3R-3W,62-65,365.265,36.7341,3.05E+07,5.22E+06,3.52E+06,1.19E+06,3.11E+07,1.86E+06,4.60E+05,5.02E+05,1.33E+04,6.29E+03,1.32E+04,1.35E+06,3.96E+05,1.54E+05,3.48E+05,3.43E+03,9.00E+04,7.44E+04,1.68E+05,4.00E+04,8.72E+04,1.04E+07,5.47E+05,1.93E+04,1.29E+06,7.74E+05,5.06E+05,2.57E+06,2.44E+05,9.62E+05,1.75E+06,5.02E+05,1.27E+05,,,
