,,ungrouped dinocyst assemblages,,,,eco-grouped dinocyst assemblages,,,
depth_mbsf,age_GTS12,number of taxa counted,Fisher's alpha,Shannon index,Simpson Index,number of taxa counted,Shannon index,Simpson Index,sumCV (window size 31)
388.75,38.8798,16,3.496797352,1.654519326,0.737298043,8,1.004522485,0.513033813,27.37755505
390.25,38.9385,17,4.267126125,1.784015246,0.746350616,10,1.42729136,0.697580888,26.67427465
391.75,38.9971,20,5.07569765,1.882246008,0.784942627,10,1.394143319,0.690340421,26.42712217
393.62,39.0701,23,6.236461774,2.442188503,0.880760046,12,1.711572379,0.752546082,25.98705587
394,39.085,20,4.760938361,1.27682942,0.557319151,12,1.080036817,0.512615056,25.78619243
394.42,39.1014,24,6.734053302,2.565803912,0.893636673,11,1.794316027,0.747720053,25.67875228
394.62,39.1092,22,5.570865614,2.392056682,0.875580837,11,1.718629978,0.73775464,24.98474402
394.92,39.1209,29,8.694594835,2.500582462,0.856088436,13,1.406421831,0.559453767,24.86608367
395.12,39.1288,22,6.308183156,2.351778112,0.85495,12,1.72036456,0.719779804,24.96197537
395.52,39.1444,23,7.342928258,2.357753392,0.844489024,13,1.803588383,0.749258336,25.45887812
395.92,39.16,23,6.156125328,2.346076659,0.858371127,10,1.627400079,0.715777646,19.84210402
396.02,39.1639,20,4.975983177,2.16661039,0.833072016,11,1.647307202,0.716043148,19.79055318
396.23,39.1721,14,5.925432489,2.124752999,0.834102801,10,1.538428573,0.680824869,24.8718329
396.85,39.1963,25,6.520901988,2.105975308,0.801005496,13,1.664490534,0.738208411,25.0347669
397.45,39.2198,20,8.131823658,2.253215793,0.824151144,10,1.560360845,0.690657439,25.4826999
397.7,39.2296,14,7.656862671,2.362727308,0.885,10,1.877771696,0.79026956,25.71548686
398.35,39.255,19,4.912934387,2.21263743,0.849073723,12,1.632187575,0.721952909,25.8816758
399.37,39.2948,22,6.71618975,2.425746342,0.870657635,12,1.676529966,0.724035608,25.91399804
401.35,39.3722,22,5.96932795,2.590832163,0.904057669,13,1.921569683,0.812021293,25.55912188
