Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),,Achilleadonium biformoides,Achomosphaera alcicornu,Achomosphaera crassipellis,Achomosphaera ramulifera,Hystrichostrogylon membraniphorum,Adnatosphaeridium vitanum,Aiora fenestrata,Alisocysta circumtabulata,Alisocysta chilensis,Alisocysta margarita,Alisocysta reticulata sp. A,Alisocysta reticulata ,Alterbidinium acutulum,Alterbidinium distinctum,Amphidiadema? sp.,Apectodinium homomorphum, Apectodinium hyperacanthum , Apectodinium parvum , Apectodinium quinquelatum , Apectodinium cf Wetz ,Apectodinium spp. (pars.),Apteodinium australiense,Arachnodinium antarcticum,Areoligera spp., Areoligera senonensis ,Batiacasphaera spp. (pars),Batiacasphaera compta,Batiacasphaera sp. c.f. B. cassicula,Brigantedinium spp.,Brigantedinium? blank,Caligodinium spp,Cannosphaeropsis sp.,Carpatella spp,Cassidium fragile,Cassidium filosum,Cerebrocysta bartonensis,Cerebrocysta wr small,Cerebrocysta minima,Cerebrocysta delicata,Cerodinium depressum,Cerodinium indet.,Cerodinium debielii,Cerodijnium depressum,Cerodinium sp. A,Cerodinium sp. A 'small' ,Cerodinium speciosum,Cerodinium striata,Circulodinium compactum,Cleistosphaeridium placacanthum,Cleistosphaeridium polypetellum,Cleistosphaeridium diversispinosum,Cordosphaeridium fibrospinosum,Cordosphaeridium minimum,Corrudinium obscurum,Corrudinium regulare,Corrudinium incompositum,Cribroperidinium spp. ,Damassadinium californicum,Danea crassimurata,Dapsilidinium spp.,Deflandrea antarctica,Deflandrea convexa,Deflandrea cygniformis,Deflandrea denticulata,Deflandrea foveolata,Deflandrea oebisfeldensis,Deflandrea phosphoritica,Deflandrea/ Cerodinium spp. (pars.),Deflandrea sp. A,Deflandrea indet.,Diconodinium sp.,diconodinium psilate large,Diconodinium granulate,Dinopterygium sp. A,Dinogymnium,Diphyes colligerum,Elytrocysta brevis,Elytrocysta druggii,Distatodinium paradoxum,Dracodinium waipawaense,Eocladopyxis spp. (pars),"Eocladopyxis sp. A Bijl et al., 2013",Enneadocysta multicornuta,Enndeadocysta partridgei,Enneadocysta pectiniformis,Enneadocysta cf robusta,Exochosphaeridium bifidum,Fibrocysta bipolaris, Fibrocysta spp. ,Fibrocysta sp. A,Florentinia mantellii,Florentinia reichartii,Froomea,Gelatia inflata,Gerdiocysta spp.,Glaphyrocysta delicata,Glaphyrocysta spp. (pars),Glaphyrocysta ordinata,Glaphyrocysta inticata,Glaphyrocysta divaricata,Glaphyrocysta exuberans,Glaphyrocysta pastielsii,Glaphyrocysta retiintexta,Hafniasphaera septata,Heteraolacocysta spp.,Homotryblium oceanicum,Hemiplacophora semilunifera,Hystiocysta verrucosa,Hystiocysta palla,Homotryblium tasmaniense,Hystrichokolpoma pusillum,Hystrichokolpoma bullatum,Hystrichokolpoma spp. (pars.),Hystrichokolpoma rigaudiae,Hystrichokolpoma spinosum,Hystrichokolpoma truncatum,Hystrichosphaeridium ?truswelliae,Hystrichosphaeridium ?tubiferum,Hystrichosphaeropsis spp.,Impagidinium aculeatum,Impagidinium cassiculum,Impagidinium crassimuratum,Impagidinium dispertitum,Impagidinium maculatum,Impagidinium agremom,Impagidinium paradoxum,Impagidinium parvireticulatum,Impagidinium velorum,Impagidinium victorianum,Impagidinium crouchiae,Impagidinium waipawaensis,Impagidinium spp. (pars.),Impletosphaeridium spp.,Isabellidinium spp.,Kallosphaeridium,Kenleyia spp.,Kisselovia coleothrypta,Kisselovia edwardsii,Lejeunecysta hyalina,Lejeunecysta rotundata,Lentinia serrata,Leptodinium pustulatum,Lingulodinium machaerophorum,Lophocysta spp.,Manumiella spp.,Manumiella seymourensis,Manumiella rotunda,Melitasphaeridium speudorecurvatum,Membranophoridium perforatum,Membranosphaera spp.,Microdinium spp.,microdinium? sp. A,Muratodinium finbriatum,Nelsoniella spp.,Nematosphaeropsis labirinthus,Ochetodinium spp.,Octodinium askiniae,Odontochitina operculata,Oligosperidium spp.,Operculodinium centrocarpum,Operculodinium? sp. A,"Operculodinium sp. A Brinkhuis, 2003",Operculodinium spp. pars.,Palaeocystodinium australinum,Palaeocystodinium golzowense,Palaeoperidinium pyrophorum,Palaeotetradinium minisculum,Pentadinium laticinctum,Phthanoperidinium crenulatum,Phthanoperidinium sp.,Phthanoperidium echinatum,Phthanoperidinium comatum,Phthanoperidnium sp A houben 748,Polysphaeridium spp.,Protoperidinium sp. A,Pyxidinopsis waipawaensis,Pyxidinopsis sp. A,Pyxidinopsis meadensis,Reticulatosphaera actinocoronata,Rhombodinium spp.,Rottnestia borussica,Samlandia delicata,Samlandia septata,Schematophora speciosa,Selenopemphix spp.,Senegalinium sp. A brown,Senegalinium sp. B transparent,Senegalinium/Alterbidium indet.,Senegalinium bicavatum,Senegalinium dilwynense,Senoniasphaera inronata,Spinidinium sp. A,Spinidinium densispinatum,Spinidinium macmurdoense,Spinidinium schellenbergii,Spiniferella cornuta,Spiniferites spp. (pars.),Spiniferites ramosus,Spiniferites sp. A Brinkhuis 2003,Spiniferites sp. B Brinkhuis 2003,Stoveracysta kakanuensis,Stoveracysta ornata,subtilisphaera,Tanyosphaeridium spp.,Tectatodinium,Thalassiphora delicata,Thalassiphora pelagica,Trithyrodinium evittii ,Trithyrodinium vermiculatum?,Turbiosphaera filosa,Turbiosphaera galeata,Vozzhennikovia apertura,Vozzhennikovia angulata,Vozzhennikovia röhliae,Vozzhennikovia stickleyae,Vozzhennkovia netrona,Vozzhennikovia spp. (pars.),Wetzelliella astra,Wetzeliella samlandica,Wilsonidium ornatum,Wilsonidium echinosuturatum,total dinoflagellates,,Impagidinium spp.,Cerebrocysta group,Spiniferites group,Operculodinium spp.,Cordosphaeridium fibrospinosum group,Cleistosphaeridium spp.,Batiacasphaera,Diphyes colligerum,Hystrichosphaeridium spp.,"Elytrocysta, Microdinium spp.",Alisocysta/Schematophora,Hystrichokolpoma,Glaphyrocysta group,Enneadocysta spp.,Wetzeliellioids,Palaeoperidinium pyrrophorum,Palaeocystodinium spp.,Spinidinium spp.,Vozzhennikovia spp.,Deflandrea group,Manumiella spp.,Phthanoperidinium spp,Senegalinium group,Goniodomids,Protoperidinium spp.,other,,,"%Group cf. Frieling & Sluijs, 2018",Spiniferites cpx,Cordosphaeridium cpx,Areoligera cpx,Operculodinium,Lingulodinium,Proximal G-cysts Apical,Proximal G-cysts Precingular,Hystrichosphaeridium,Hystrichokolpoma,Cleistosphaeridium,Epicystal Goniodomids,Impagidinium,Florentinia reichartii,Diphyes,Apectodinium,Hafniasphaera,Senegalinium (inclusive),Senegalinium (exclusive),"Phth, Spini & Vozz.",Cerodinium & Deflandrea,Protoperidinioids,Hex-P,Thermophiles,Open Marine,Octodinium askinae,SUM,%endemic,acritarchs,bisaccate,nothofagus,other pollen,spores,sporomorphs unspecified,T/T+M
1172A,427.72,46,4,142,144,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,3,17,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,6,,,,,,,,,,,,,,1,,1,,,,,,,2,2,,4,,,,,,,,,,1,,,,,20,,,,,,,,,,97,,5,3,6,6,1,3,0,0,6,1,0,0,0,20,0,0,0,4,20,14,0,6,1,0,1,0,,,,6.19,1.03,20.62,6.19,0.00,1.03,3.09,6.19,0.00,3.09,0.00,5.15,0.00,0.00,0.00,0.00,46.39,31.96,31.96,14.43,1.03,47.42,0.00,17.53,0.00,100,55,14,0,7,3,0,,0.09
1172A,428.65,46,5,85,87,SH,,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,1,,50,,,,,,,,,,,,,3,53,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,,,,,,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,4,,,8,,,,,,,,,,1,,,,,30,,,,,,,,,,208,,5,8,15,0,1,0,1,0,10,1,0,0,0,56,0,0,0,4,30,73,0,3,0,0,1,0,,,,7.23,0.48,26.75,0.00,0.00,0.96,3.86,4.82,0.00,0.00,0.00,2.41,0.00,0.00,0.00,0.00,53.01,17.83,17.83,35.18,0.48,53.49,0.00,9.64,0.00,100,159,3,0,1,1,3,,0.02
1172A,430.90,46,7,10,12,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,7,,27,,,,,,,3,,,,,,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,12,,4,,,,,,,,,,,,2,,3,,,,,,,,,,27,,,,,,,,,,2,,,,,32,,3,,,,,,,,165,,2,4,27,1,2,3,0,0,4,3,0,0,0,22,0,0,0,0,35,37,0,16,3,0,3,3,,,,16.36,1.21,13.33,0.61,0.00,1.82,2.42,2.42,0.00,1.82,0.00,1.21,0.00,0.00,0.00,0.00,55.15,32.73,32.73,22.42,1.82,56.97,0.00,18.18,1.82,100,73,18,3,5,0,2,,0.06
1172A,432.23,47,1,85,87,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,4,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,24,,,,,,,,,,26,,,,,16,,,,,,,,,,286,,10,2,24,2,26,1,0,0,0,1,0,0,0,26,0,0,0,1,16,174,0,3,0,0,0,0,,,,8.39,9.09,9.09,0.70,0.00,0.35,0.70,0.00,0.00,0.35,0.00,3.50,0.00,0.00,0.00,0.00,67.83,6.99,6.99,60.84,0.00,67.83,0.00,12.59,0.00,100,217,5,1,0,1,2,,0.01
1172A,433.73,47,2,85,87,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,5,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,3,,,,,,,,,,,,,,,12,,,,,,,,,,251,,0,5,3,6,1,2,0,0,0,0,0,0,0,54,0,0,0,6,12,155,0,0,0,5,0,2,,,,1.20,0.40,21.51,2.39,0.00,0.00,1.99,0.00,0.00,0.80,1.99,0.00,0.00,0.00,0.00,0.00,68.92,7.17,7.17,61.75,0.00,68.92,1.99,3.59,0.80,100,234,2,0,0,0,0,,0.00
1172A,435.23,47,3,85,87,SH,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,4,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,,,,,,,,,,6,,,,,10,,,,,,,,,,183,,2,3,3,3,6,2,0,0,1,0,0,0,0,85,0,0,0,6,10,60,0,0,0,0,0,2,,,,1.64,3.28,46.45,1.64,0.00,0.00,1.64,0.55,0.00,1.09,0.00,1.09,0.00,0.00,0.00,0.00,41.53,8.74,8.74,32.79,0.00,41.53,0.00,4.37,0.00,99,159,3,6,1,1,1,,0.05
1172A,436.73,47,4,85,87,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,18,,,,,,,,,,253,,3,1,0,1,2,1,0,0,1,0,0,0,0,207,0,0,0,0,18,16,0,0,0,0,0,3,,,,0.00,0.79,81.82,0.40,0.00,0.00,0.40,0.40,0.00,0.40,0.00,1.19,0.00,0.00,0.00,0.00,13.44,7.11,7.11,6.32,0.00,13.44,0.00,1.58,1.19,100,244,1,2,0,0,0,,0.01
1172A,438.23,47,5,83,84,SH,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,10,,,,,,,,,,236,,0,3,5,3,5,0,0,0,1,0,0,0,0,207,0,0,0,0,10,0,0,0,0,0,0,2,,,,2.12,2.12,87.71,1.27,0.00,0.00,1.27,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.24,4.24,4.24,0.00,0.00,4.24,0.00,3.39,0.00,99,218,0,3,0,0,0,,0.01
1172A,439.75,47,6,85,87,PKB,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,5,4,,,,1,,,,,,,,,,,,,,,,,,,1,,11,,,2,,,,,,,2,,,,,42,,,,,,,,,,295,,4,2,13,0,3,0,1,0,1,2,0,0,0,161,0,0,0,1,42,52,0,9,0,0,0,4,,,,4.41,1.02,54.58,0.00,0.00,1.02,0.68,0.34,0.00,0.00,0.00,1.36,0.00,0.00,0.00,0.00,35.25,17.63,17.63,17.63,0.00,35.25,0.00,5.76,1.02,100,260,0,0,0,0,2,,0.01
1172A,441.85,48,1,85,87,PKB,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,58,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,5,,,,,,,,,,,,,2,,,,,,,,6,,7,,,,,,,,,,5,,,,,28,,,2,,,,,,,269,,1,1,7,0,5,0,0,0,0,0,0,2,0,115,0,0,0,6,30,83,0,8,4,5,0,2,,,,2.60,1.86,42.75,0.00,0.00,0.00,0.37,0.00,0.74,0.00,1.86,0.37,0.00,0.00,0.00,0.00,48.70,17.84,17.10,30.86,0.00,48.70,1.86,2.97,0.00,99,178,0,0,0,0,0,,0.00
1172A,443.35,48,2,85,87,PKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,4,,,,,21,,,,,,,,,,389,,1,0,6,0,4,0,0,0,0,1,0,0,0,142,0,0,0,0,21,211,0,3,0,0,0,0,,,,1.54,1.03,36.50,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,60.41,6.17,6.17,54.24,0.00,60.41,0.00,1.80,0.00,100,374,0,0,0,0,0,,0.00
1172A,444.85,48,3,85,87,PKB,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,196,1,,,,,,,,,,,,,,,,,,,,,17,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,2,,3,,2,,,,,,,,,,,,,,,,,,,1,,11,1,,1,,,,,,,4,,,,,11,,,5,,,,,,,306,,4,4,13,0,4,0,0,0,1,1,0,0,0,50,0,0,0,1,16,197,0,5,6,3,0,1,,,,4.25,1.31,16.34,0.00,0.00,0.33,1.31,0.33,0.00,0.00,0.98,1.31,0.00,0.00,0.00,0.00,73.53,9.15,7.19,64.38,0.00,73.53,0.98,5.56,0.00,100,248,10,0,0,1,1,,0.01
1172A,446.35,48,4,85,87,PKB,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,,2,,1,,,,,,,,,,4,,,,,13,,,,,,,,,,376,,2,1,1,0,4,0,0,0,0,1,0,0,0,58,0,0,0,2,13,284,0,2,1,1,0,6,,,,0.27,1.06,15.43,0.00,0.00,0.27,0.27,0.00,0.00,0.00,0.27,0.53,0.00,0.00,0.00,0.00,80.32,4.79,4.79,75.53,0.00,80.32,0.27,0.80,0.53,99,363,0,0,1,0,0,,0.00
1172A,447.85,48,5,85,87,PKB,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,1,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,3,,,,,5,,,,,,,,,,285,,2,1,1,0,3,0,0,0,0,0,0,0,0,178,0,0,0,0,5,90,0,1,1,1,0,2,,,,0.35,1.05,62.46,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.35,0.70,0.00,0.00,0.00,0.00,34.04,2.46,2.46,31.58,0.00,34.04,0.35,1.05,0.00,99,276,0,0,0,0,0,,0.00
1172A,449.35,48,6,85,87,PKB,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,2,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,2,,,,,4,,,,,,,,,,429,,2,0,2,0,2,0,1,0,0,1,0,0,0,251,0,0,0,2,4,160,0,1,0,2,0,1,,,,0.47,0.47,58.51,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.47,0.47,0.00,0.00,0.00,0.00,38.93,1.63,1.63,37.30,0.00,38.93,0.47,0.93,0.00,100,420,0,0,3,0,0,,0.01
1172A,451.45,49,1,85,87,PKB,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,,1,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,6,,,,,35,,,4,,,,,,,300,,5,3,3,0,7,0,0,0,0,1,0,1,0,116,0,0,0,0,39,103,0,7,1,0,0,14,,,,1.00,2.33,38.67,0.00,0.00,0.33,1.00,0.00,0.33,0.00,0.00,1.67,0.00,0.00,0.00,0.00,50.00,15.67,15.67,34.33,0.00,50.00,0.00,2.67,0.00,95,272,0,1,1,0,0,,0.01
1172A,452.95,49,2,85,87,PKB,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,8,,,,,,,,,,14,,,,,19,,,1,,,,,,,361,,6,2,8,0,17,0,0,0,2,1,0,0,0,75,0,0,0,1,20,196,0,1,0,0,0,32,,,,2.22,4.71,20.78,0.00,0.00,0.28,0.55,0.55,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,60.39,6.09,6.09,54.29,0.00,60.39,0.00,3.88,0.00,91,324,0,0,0,0,1,,0.00
1172A,454.45,49,3,85,87,PKB,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,2,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,2,,,,,,,,,,,,,,,1,,10,,3,,,,,,,,,5,,,,,,,,,,1,,6,,,,,,,,,,14,,,,,56,,,,,,,,,,253,,5,11,6,0,14,0,0,0,0,4,0,0,0,20,0,0,0,1,56,113,0,1,0,12,5,5,,,,2.37,5.53,7.91,0.00,0.00,1.58,4.35,0.00,0.00,0.00,4.74,1.98,0.00,0.00,0.00,0.00,67.59,22.92,22.92,44.66,1.98,69.57,4.74,4.35,0.79,99,197,15,0,3,4,2,,0.03
1172A,455.95,49,4,85,87,PKB,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,3,,,,,,,,,,,,,1,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,1,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,8,,2,,,,,,,,,,,1,,,,,,,,1,,15,,,,,,,,,,,,,,,74,,,2,,,,,,,235,,3,8,15,0,1,0,1,0,0,3,0,0,0,10,0,0,0,1,76,106,0,1,1,9,0,0,,,,6.38,0.43,4.26,0.00,0.00,1.70,3.40,0.00,0.00,0.00,3.83,1.28,0.00,0.00,0.00,0.00,78.72,33.62,33.62,45.11,0.00,78.72,3.83,7.66,0.00,100,188,0,0,0,0,0,,0.00
1172A,457.45,49,5,85,87,PKB,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,4,,,,,,,,1,,5,,,,,,,,,,1,,,,,78,,,,,,,,,,216,,4,2,5,0,1,0,0,0,1,1,0,0,0,3,0,0,0,1,78,110,0,2,6,2,0,0,,,,2.31,0.46,1.39,0.00,0.00,0.46,0.93,0.46,0.00,0.00,0.93,1.85,0.00,0.00,0.00,0.00,91.20,40.28,39.35,50.93,0.00,91.20,0.93,4.17,0.00,100,192,13,3,0,1,1,,0.02
1172A,458.95,49,6,85,87,PKB,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,2,,45,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,7,,,,,3,,,,,,,,,,258,,4,5,12,0,7,0,0,0,0,1,0,0,0,76,0,0,0,0,3,145,0,0,1,2,0,2,,,,4.65,2.71,29.46,0.00,0.00,0.39,1.94,0.00,0.00,0.00,0.78,1.55,0.00,0.00,0.00,0.00,57.75,1.55,1.16,56.20,0.00,57.75,0.78,6.20,0.39,100,183,10,1,1,2,5,,0.03
1172A,470.61,51,1,81,83,PKB,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,16,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,3,3,,,,2,,,,,,,,,2,,,1,,,,,,,,,1,,,,,,,,,,5,,,,,5,,,,,,,,,2,245,,4,4,1,0,10,0,0,0,0,3,0,0,0,51,2,0,0,0,5,138,0,6,1,16,2,2,,,,0.41,4.08,20.82,0.00,0.00,1.22,1.63,0.00,0.00,0.00,6.53,1.63,0.00,0.00,0.82,0.00,61.22,4.90,4.90,56.33,0.82,62.04,7.35,2.86,0.41,100,212,0,4,0,3,1,,0.03
1172A,472.15,51,2,85,87,PKB,,,,,,,,,,,,,,13,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,1,,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,1,,6,,,1,,,,,,,,,,,,26,,,,,,,,,,218,,8,2,7,0,1,0,0,0,0,3,0,0,0,19,0,0,0,1,26,128,0,3,16,1,1,2,,,,3.21,0.46,8.72,0.00,0.00,1.38,0.92,0.00,0.00,0.00,0.46,3.67,0.00,0.00,0.00,0.00,79.82,21.10,15.14,58.72,0.46,80.28,0.46,6.88,0.46,100,170,0,0,0,0,0,,0.00
1172A,473.65,51,3,85,87,PKB,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,2,,,,,,,,,,1,,,,,19,,,,,,,,,,215,,3,4,2,0,1,0,0,0,0,4,0,0,0,39,0,0,0,0,19,127,0,6,9,0,1,0,,,,0.93,0.47,18.14,0.00,0.00,1.86,1.86,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,74.88,15.81,14.88,59.07,0.47,75.35,0.00,2.33,0.00,100,185,1,1,0,1,2,,0.02
