Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),Dage,Open,Spinif,Cribro,Cleisto,Proxgap,Aliso,Glaph,Ennead,Wetzel,Palaeop,Spinvozz,Defl,Phthano,Seneg,Gonio,Protop,Thermo,Endemic,Terr,,,,
1172A,362.95,39,6,85,87,36.32,3.9,2.5,0.4,0.0,0.0,0.0,0.0,0.4,0.0,,20.2,68.8,2.1,1.4,0.0,1.1,0.0,90.1,0.4,,,,
1172A,363.15,39,6,105,107,36.36,3.5,1.0,0.3,0.0,0.0,0.0,0.0,0.6,0.0,,55.6,19.6,16.1,0.0,0.0,1.0,0.0,77.8,1.9,,,,
1172A,363.30,39,6,120,122,36.38,2.7,1.3,0.0,0.0,0.4,0.0,0.0,0.9,0.0,,52.9,13.9,23.8,0.0,0.4,0.9,0.0,71.3,5.1,,,,
1172D,363.37,3,1,55,58,36.40,15.8,10.7,0.0,0.0,0.0,0.0,0.0,6.1,0.0,,14.3,54.7,5.1,0.0,0.0,1.2,0.0,77.0,1.6,,,,
1172A,363.58,39,6,148,150,36.44,1.9,1.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,,14.5,81.5,1.9,0.0,0.0,0.0,0.0,95.7,0.3,,,,
1172A,363.65,39,7,5,7,36.45,0.5,0.5,0.0,0.0,0.3,0.0,0.0,0.8,0.0,,10.3,85.3,1.8,0.0,0.0,0.3,0.0,96.8,0.0,,,,
1172A,363.70,39,7,10,12,36.46,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,,24.4,66.8,6.2,0.7,0.0,0.0,0.0,92.0,0.2,,,,
1172A,363.91,39,7,31,33,36.50,1.7,0.4,0.0,0.0,0.4,0.0,0.0,2.1,0.0,,66.0,9.2,6.7,0.4,0.0,1.3,0.0,88.2,2.1,,,,
1172A,364.05,39,7,45,47,36.52,2.4,1.2,0.0,0.0,0.4,0.0,0.0,38.8,0.0,,22.8,18.8,12.8,0.0,0.0,0.4,0.0,82.4,0.4,,,,
1172D,364.44,3,2,12,15,36.60,8.4,5.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,7.4,77.0,0.7,0.0,0.0,0.3,0.0,88.5,0.3,,,,
1172A,365.05,40,1,85,87,36.71,3.6,0.8,1.2,0.0,0.4,0.0,0.0,6.0,0.0,,38.1,21.4,21.0,0.0,0.4,3.2,0.0,66.7,1.6,,,,
1172D,366.44,3,3,62,64,36.89,9.0,0.7,0.0,0.0,0.7,0.0,0.0,19.0,0.0,,12.4,49.3,2.1,1.0,0.0,0.0,0.0,86.2,1.4,,,,
1172A,366.55,40,2,85,87,36.90,2.2,0.2,0.0,0.0,0.0,0.0,0.0,56.7,0.0,,32.0,0.6,6.7,0.0,0.0,0.0,0.0,89.7,0.0,,,,
1172D,367.47,3,4,15,18,37.04,2.6,1.0,0.0,0.0,0.7,0.0,0.0,83.5,0.0,,3.6,5.9,1.3,0.0,0.0,0.7,0.0,94.1,0.3,,,,
1172A,368.05,40,3,85,87,37.16,2.3,0.0,0.3,0.0,0.0,0.0,0.0,21.1,0.0,,17.4,52.3,2.0,2.6,0.0,0.3,0.0,91.8,1.3,,,,
1172D,368.49,3,4,118,121,37.25,9.6,4.3,0.0,0.0,0.0,0.0,0.0,25.6,0.0,,9.0,32.7,9.0,8.6,0.0,0.6,0.0,70.1,1.2,,,,
1172D,369.45,3,5,63,66,37.44,4.2,1.1,0.4,0.0,0.4,0.0,0.0,46.4,0.0,,14.4,31.6,0.4,0.0,0.0,0.8,0.0,92.8,0.4,,,,
1172A,369.55,40,4,85,87,37.46,3.1,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,,1.2,64.6,2.3,0.0,0.0,0.0,0.0,94.2,0.0,,,,
1172D,370.45,3,6,13,16,37.64,2.1,0.8,0.0,0.0,0.0,0.0,0.0,84.3,0.0,,0.0,12.8,0.4,0.0,0.0,0.4,0.0,97.1,0.4,,,,
1172A,371.05,40,5,85,87,37.76,2.0,1.2,0.8,0.0,0.4,0.0,0.0,10.9,0.0,,22.3,51.8,4.9,0.4,0.0,2.0,0.0,84.2,0.0,,,,
1172A,372.55,40,6,85,87,38.06,0.8,0.6,0.0,0.0,0.2,0.0,0.0,6.7,0.0,,0.2,91.5,0.2,0.0,0.0,0.2,0.0,92.1,0.0,,,,
1172A,373.30,40,7,10,12,38.21,4.1,3.2,0.0,0.0,0.0,0.0,0.0,34.7,0.0,,15.1,37.9,6.4,0.9,0.0,0.0,0.0,87.7,0.9,,,,
1172A,374.65,41,1,85,87,38.36,7.2,3.9,1.9,0.0,1.0,0.0,0.0,7.7,0.0,,57.5,15.9,2.9,0.5,0.0,1.9,0.0,82.6,0.0,,,,
1172A,376.15,41,2,85,87,38.41,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,,24.1,72.8,0.6,0.0,0.0,0.2,0.0,98.1,0.0,,,,
1172A,377.65,41,3,85,87,38.46,2.7,1.7,0.0,0.0,1.7,0.0,0.7,2.7,0.0,,44.5,37.3,9.2,0.0,0.0,0.3,0.0,84.6,0.0,,,,
1172A,379.15,41,4,85,87,38.52,4.6,3.8,0.4,0.0,1.9,0.0,0.0,5.0,0.0,,31.0,48.3,6.9,0.0,0.0,0.8,0.0,81.2,5.1,,,,
1172A,380.51,41,5,86,88,38.56,7.3,4.6,1.9,0.0,0.0,0.8,0.4,7.3,0.0,,28.2,44.4,2.3,0.0,0.4,0.8,0.0,74.5,2.6,,,,
1172A,382.15,41,6,85,87,38.62,5.2,2.6,0.0,0.0,0.7,0.0,0.4,18.5,0.4,,28.0,33.6,8.1,0.4,0.0,0.4,0.4,67.5,2.5,,,,
1172A,384.25,42,1,85,87,38.70,8.3,3.2,2.4,0.0,1.2,0.0,0.4,2.0,0.0,,50.4,5.2,19.4,1.2,0.4,2.0,0.0,57.9,6.0,,,,
1172A,385.00,42,2,10,12,38.73,5.1,3.0,0.9,0.0,3.4,0.4,0.0,4.7,0.0,,46.8,3.0,25.5,1.3,0.0,1.3,0.0,51.1,0.0,,,,
1172A,385.75,42,2,85,87,38.76,4.0,2.5,0.3,0.0,2.5,0.6,0.0,6.4,0.0,,65.0,8.3,9.2,1.2,0.0,0.6,0.0,76.1,2.1,,,,
1172A,387.25,42,3,85,87,38.82,15.0,8.8,2.2,0.0,0.4,1.3,0.4,19.9,0.0,,27.0,14.2,10.2,0.4,0.0,5.8,0.0,47.3,7.8,,,,
1172A,388.75,42,4,85,87,38.88,4.2,2.4,0.0,0.0,0.0,0.6,0.0,2.1,0.0,,39.3,26.5,23.8,0.9,0.0,0.0,0.0,67.6,0.0,,,,
1172A,390.25,42,5,85,87,38.94,6.2,3.1,0.0,0.0,0.4,0.0,23.1,5.8,0.0,,6.7,42.2,11.6,0.0,0.9,0.0,0.0,55.6,5.5,,,,
1172A,391.75,42,6,85,87,39.00,4.3,2.7,0.4,0.0,2.7,0.0,0.0,39.1,0.0,,5.1,35.2,10.5,0.0,0.0,0.4,0.0,62.1,1.9,,,,
1172A,393.62,43,1,62,64,39.07,14.0,7.4,1.2,0.0,1.2,0.0,24.3,10.3,0.0,,8.2,11.1,13.2,2.9,0.0,0.4,0.0,35.0,2.0,,,,
1172A,394.00,43,1,100,102,39.09,3.2,1.3,0.6,0.0,0.0,0.3,2.9,62.6,0.0,,0.3,4.2,1.0,0.0,23.0,0.3,23.0,27.8,1.3,,,,
1172A,394.42,43,1,142,144,39.10,12.1,5.6,8.4,0.0,4.3,0.4,0.4,10.8,0.0,,20.3,6.9,24.2,1.3,0.0,0.0,0.0,31.5,1.3,,,,
1172A,394.62,43,2,12,14,39.11,8.6,4.6,13.7,0.0,0.0,0.0,0.8,8.9,0.0,,21.9,9.7,22.8,0.8,0.0,0.8,0.0,36.7,2.5,,,,
1172A,394.92,43,2,42,44,39.12,4.8,1.9,8.3,1.4,1.4,0.5,0.5,6.4,0.0,,25.7,3.3,36.2,2.9,0.0,3.8,0.0,31.0,5.4,,,,
1172A,395.12,43,2,62,64,39.13,14.0,6.5,6.0,0.0,1.0,0.5,0.0,8.5,0.0,,30.5,14.5,17.0,1.0,0.5,0.5,0.0,52.0,3.8,,,,
1172A,395.52,43,2,102,104,39.14,23.0,12.4,3.7,0.0,0.0,1.2,1.2,6.2,0.0,,32.3,14.3,9.9,1.9,0.6,1.2,0.6,52.8,2.4,,,,
1172A,395.92,43,2,142,144,39.16,13.9,4.0,3.2,0.0,2.4,0.8,0.8,8.7,0.0,,24.2,21.0,20.6,0.8,0.4,0.0,0.4,52.8,1.2,,,,
1172A,396.02,43,3,2,4,39.16,13.6,7.4,1.5,0.0,3.7,0.0,0.0,6.3,0.0,,19.9,24.3,25.0,0.0,0.0,0.0,0.0,49.3,1.1,,,,
1172A,396.23,43,3,23,25,39.17,7.0,3.5,1.8,1.8,0.0,0.0,0.0,3.5,0.0,,21.1,26.3,28.1,0.0,0.0,5.3,0.0,43.9,5.0,,,,
1172A,396.85,43,3,85,87,39.20,25.7,6.4,0.0,0.3,0.7,0.0,0.3,3.4,0.0,,9.5,42.0,12.9,0.7,0.5,1.0,0.5,50.8,2.3,,,,
1172A,397.45,43,3,145,147,39.22,13.8,3.4,4.6,0.0,3.4,0.0,0.0,3.4,0.0,,36.8,21.8,10.3,1.1,0.0,1.1,0.0,58.6,3.3,,,,
1172A,397.70,43,4,20,22,39.23,12.5,2.5,15.0,0.0,2.5,0.0,7.5,5.0,0.0,,22.5,7.5,15.0,0.0,0.0,5.0,0.0,32.5,9.1,,,,
1172A,398.35,43,4,85,87,39.26,16.5,3.0,0.9,0.0,0.0,0.0,0.0,2.2,0.0,,25.2,30.0,15.7,0.0,0.9,3.9,0.9,58.3,3.4,,,,
1172A,399.37,43,5,37,39,39.29,16.9,5.2,0.6,0.0,0.6,0.0,0.0,12.8,0.0,,29.7,13.4,15.2,1.5,1.2,3.5,1.2,46.6,5.5,,,,
